SN,Purchase Count,Average Purchase Price,Total Purchase Value
Adairialis76,1,2.28,2.28
Adastirin33,1,4.48,4.48
Aeda94,1,4.91,4.91
Aela59,1,4.32,4.32
Aelaria33,1,1.79,1.79
Aelastirin39,2,3.6449999999999996,7.289999999999999
Aelidru27,1,1.09,1.09
Aelin32,3,2.9933333333333336,8.98
Aelly27,2,3.3949999999999996,6.789999999999999
Aellynun67,1,3.74,3.74
Aellyria80,1,3.08,3.08
Aelollo59,2,2.8150000000000004,5.630000000000001
Aenarap34,1,2.96,2.96
Aeral43,1,4.4,4.4
Aeral68,1,4.0,4.0
Aeral97,1,4.8,4.8
Aeralria27,1,4.09,4.09
Aeralstical35,1,2.96,2.96
Aeri84,1,1.61,1.61
Aerillorin70,1,3.33,3.33
Aerithllora36,2,4.32,8.64
Aerithnucal56,1,4.4,4.4
Aerithnuphos61,1,4.91,4.91
Aerithriaphos45,1,1.56,1.56
Aerithriaphos46,1,2.18,2.18
Aesri53,1,1.76,1.76
Aesty53,2,1.955,3.91
Aestysu37,2,2.69,5.38
Aesur96,1,2.21,2.21
Aesurstilis64,1,1.03,1.03
Aethedru70,1,3.54,3.54
Aidai53,1,4.6,4.6
Aidai61,1,1.01,1.01
Aidai73,1,3.08,3.08
Aidaillodeu39,2,3.9299999999999997,7.859999999999999
Aidain51,1,3.45,3.45
Aidaira26,1,4.23,4.23
Aiduecal76,2,3.79,7.58
Aiduesu86,1,4.48,4.48
Aillyriadru65,1,1.1,1.1
Aillyrin83,1,2.89,2.89
Aina42,3,3.073333333333333,9.219999999999999
Aina43,1,3.09,3.09
Airi27,1,3.45,3.45
Aisur51,1,1.14,1.14
Aisurdru79,2,1.755,3.51
Aisurria69,1,1.79,1.79
Aithelis62,2,3.39,6.78
Alaephos75,1,4.84,4.84
Alaesu77,1,2.49,2.49
Alaesu91,1,3.45,3.45
Alarap40,1,3.27,3.27
Ali84,2,2.155,4.31
Alim85,1,2.5,2.5
Alo38,1,1.0,1.0
Anallorgue57,2,2.85,5.7
Ardcil81,2,2.79,5.58
Ardonmol96,1,1.55,1.55
Arin32,2,4.545,9.09
Arirgue63,1,1.7,1.7
Assassa81,1,3.39,3.39
Assassasta79,2,3.315,6.63
Assastnya25,1,4.48,4.48
Assehoan67,1,1.75,1.75
Assesi91,1,1.54,1.54
Assilsan72,1,4.9,4.9
Assim27,1,1.7,1.7
Assirra56,1,3.19,3.19
Assistasda42,2,2.96,5.92
Assistasda90,1,4.35,4.35
Assjaskan56,1,2.96,2.96
Assjaskan73,1,1.7,1.7
Assosia88,1,1.33,1.33
Assylla81,1,4.18,4.18
Asty82,1,3.09,3.09
Asur53,3,2.48,7.4399999999999995
Asur96,1,4.74,4.74
Baelollodeu94,2,4.515,9.03
Bartassaya73,2,3.06,6.12
Caesrinusuir82,2,2.59,5.18
Ceoral34,1,4.58,4.58
Chadadarla74,2,3.015,6.03
Chadilsasta32,2,2.145,4.29
Chadirra90,1,2.05,2.05
Chadista79,2,4.175,8.35
Chadistaya75,1,3.94,3.94
Chadjask77,1,4.93,4.93
Chadjask85,1,3.87,3.87
Chadolyla44,3,3.8200000000000003,11.46
Chadossa56,1,1.98,1.98
Chadossa89,1,3.19,3.19
Chamadar79,1,3.14,3.14
Chamadarnya73,1,3.07,3.07
Chamadarsda63,1,3.92,3.92
Chamalo71,1,4.64,4.64
Chamassasya86,1,3.27,3.27
Chamast86,1,2.05,2.05
Chamastya76,1,2.05,2.05
Chamilsala65,2,4.275,8.55
Chamiman85,1,4.4,4.4
Chamimla73,1,4.8,4.8
Chamimla85,3,2.1,6.300000000000001
Chamirra53,2,2.68,5.36
Chamirrasya33,2,1.525,3.05
Chamirraya83,1,2.22,2.22
Chamistast30,1,3.58,3.58
Chamjask73,3,4.61,13.83
Chamjaskya75,1,2.84,2.84
Chamossa77,1,1.77,1.77
Chanadar44,1,3.19,3.19
Chanastnya43,3,2.94,8.82
Chanastsda67,1,3.7,3.7
Chanastst38,2,3.29,6.58
Chanastya70,1,3.58,3.58
Chanilsasda38,1,2.52,2.52
Chanilsast61,1,2.08,2.08
Chanirra64,1,1.54,1.54
Chanirra79,1,1.01,1.01
Chanirrala39,2,3.075,6.15
Chanirrasta87,1,4.94,4.94
Chanista95,1,3.16,3.16
Chanjask65,1,4.32,4.32
Chanjaskan89,2,2.585,5.17
Chanosia34,1,2.96,2.96
Chanosia60,2,2.71,5.42
Chanosian48,2,3.76,7.52
Chanosiaya39,1,1.97,1.97
Chanossanya44,2,3.14,6.28
Chanossast57,1,4.32,4.32
Chanuchi25,1,3.97,3.97
Cosadar58,1,4.35,4.35
Dyally87,1,4.99,4.99
Ealiril69,1,4.4,4.4
Ealrion88,1,4.48,4.48
Ennalmol65,1,4.88,4.88
Ennoncil86,1,1.74,1.74
Ennrian78,2,3.04,6.08
Eodailis27,2,2.88,5.76
Eodairu79,1,3.4,3.4
Eodaisu60,1,3.94,3.94
Eolan54,1,1.54,1.54
Eoral49,1,4.35,4.35
Eoralrap26,1,1.7,1.7
Eosrirgue62,1,3.08,3.08
Eosurdru76,1,1.79,1.79
Eratiel90,1,4.6,4.6
Ermol76,1,2.5,2.5
Errian63,1,3.49,3.49
Eryon48,1,1.1,1.1
Ethralista69,1,2.22,2.22
Ethrasyon38,1,2.04,2.04
Ethriel85,1,3.1,3.1
Ethron58,1,2.49,2.49
Eudanu32,1,2.85,2.85
Eudanu84,1,1.02,1.02
Eulae84,1,3.87,3.87
Eulaestira36,2,2.0700000000000003,4.140000000000001
Eulanurin88,1,1.79,1.79
Eulasuir89,1,2.67,2.67
Eulolis41,1,2.67,2.67
Eurisuru25,1,2.18,2.18
Eurithphos97,2,2.275,4.55
Eusri26,1,3.27,3.27
Eusri44,1,3.09,3.09
Eusri70,2,3.67,7.34
Eustyria89,1,2.85,2.85
Eusur90,1,1.6,1.6
Eusurdeu49,2,2.47,4.94
Euthe35,1,1.03,1.03
Eyircil84,1,4.35,4.35
Eyista89,1,1.29,1.29
Eyrian71,2,2.5949999999999998,5.1899999999999995
Farrian71,1,3.08,3.08
Farusrian86,1,4.48,4.48
Filrion59,1,4.64,4.64
Filrion83,1,4.4,4.4
Filurarn35,1,4.91,4.91
Firan91,1,4.91,4.91
Firatan58,1,3.75,3.75
Firon67,1,3.53,3.53
Fironon91,1,4.08,4.08
Frichadar89,1,2.67,2.67
Frichadaran88,2,2.9450000000000003,5.890000000000001
Frichast28,1,2.05,2.05
Frichaststa61,1,1.79,1.79
Frichaya88,1,3.93,3.93
Frichilsa31,1,1.44,1.44
Frichim77,2,1.875,3.75
Frichirranya75,1,4.23,4.23
Frichjask31,1,4.43,4.43
Frichjaskan98,1,1.02,1.02
Frichocesta66,2,4.1850000000000005,8.370000000000001
Frichosia58,1,4.43,4.43
Frichosiala98,1,3.54,3.54
Frichossala54,1,3.08,3.08
Frichynde86,1,1.63,1.63
Hada39,3,2.856666666666667,8.57
Haedairiadru51,1,3.09,3.09
Haeladil46,1,3.81,3.81
Haellysu29,1,3.77,3.77
Haerith37,1,1.66,1.66
Haerithp41,1,4.4,4.4
Haestyphos66,1,1.97,1.97
Hailaphos89,1,3.81,3.81
Haillyrgue51,3,3.1666666666666665,9.5
